@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
154,'2021/03/11 15:16:13:407',6,-0.003441,0.004512,-0.009399,0.028904,-0.012115,0.663472,0.015118,-0.046386,2.883749,1,?,?,?,?
155,'2021/03/11 15:16:13:446',6,0.002098,0.010119,-0.008103,0.028395,-0.002295,0.591368,0.015109,-0.047073,2.906131,1,?,?,?,?
156,'2021/03/11 15:16:13:477',6,0.016024,-0.00711,-0.008209,0.041647,0.024471,0.736306,0.015244,-0.047007,2.928332,1,?,?,?,?
157,'2021/03/11 15:16:13:515',6,-0.007854,0.017475,-0.01407,0.034374,-0.013399,0.810732,0.015339,-0.04733,2.958311,1,?,?,?,?
158,'2021/03/11 15:16:13:551',6,-0.005852,0.027261,-0.00734,0.011784,-0.002749,0.273129,0.015238,-0.047975,2.9777,1,?,?,?,?
159,'2021/03/11 15:16:13:585',6,-0.013974,0.019846,-0.007783,0.00127,-0.000063,0.05841,0.015193,-0.048016,2.982055,1,?,?,?,?
160,'2021/03/11 15:16:13:621',6,0.01022,-0.021313,-0.009936,0.008573,-0.000674,0.171288,0.015217,-0.048025,2.985548,1,?,?,?,?
161,'2021/03/11 15:16:13:656',6,-0.011094,0.022025,-0.008221,-0.001984,0.000429,-0.000194,0.015189,-0.048226,2.98849,1,?,?,?,?
162,'2021/03/11 15:16:13:692',6,0.000713,0.001138,-0.005484,0.000854,0.00616,0.001607,0.015253,-0.0481,2.988469,1,?,?,?,?
163,'2021/03/11 15:16:13:730',6,-0.00526,-0.000129,-0.005,0.000379,0.007224,-0.000799,0.014993,-0.048261,2.988405,1,?,?,?,?
164,'2021/03/11 15:16:14:226',7,-0.003744,-0.001564,-0.007463,-0.009123,-0.011396,-0.228688,0.014259,-0.046036,2.832152,1,?,?,?,?
165,'2021/03/11 15:16:14:270',7,-0.012034,0.000639,-0.004935,-0.026747,0.000922,-0.532861,0.014189,-0.045833,2.818547,1,?,?,?,?
166,'2021/03/11 15:16:14:298',7,0.004294,-0.002792,-0.007479,-0.034219,0.003716,-0.7125,0.014115,-0.045437,2.79625,1,?,?,?,?
167,'2021/03/11 15:16:14:336',7,-0.009131,-0.001214,-0.009067,-0.03518,-0.005171,-0.685382,0.014015,-0.045149,2.77119,1,?,?,?,?
168,'2021/03/11 15:16:14:369',7,0.006897,-0.005727,-0.007328,-0.029112,-0.002379,-0.586457,0.013897,-0.04485,2.747599,1,?,?,?,?
169,'2021/03/11 15:16:14:405',7,-0.005398,0.007347,-0.008158,-0.028682,-0.006856,-0.589631,0.013817,-0.04467,2.728369,1,?,?,?,?
170,'2021/03/11 15:16:14:446',7,0.002845,-0.016648,-0.006211,-0.012289,0.012699,-0.314449,0.013764,-0.044138,2.709856,1,?,?,?,?
171,'2021/03/11 15:16:14:476',7,0.030618,0.013332,-0.009091,0.003844,0.015509,0.00488,0.013866,-0.043667,2.705272,1,?,?,?,?
172,'2021/03/11 15:16:14:515',7,0.000604,-0.000958,-0.006988,-0.003676,-0.011751,0.00093,0.013889,-0.043728,2.705411,1,?,?,?,?
173,'2021/03/11 15:16:14:553',7,0.000127,-0.000359,-0.007985,-0.004117,-0.005057,-0.032468,0.013496,-0.043633,2.705184,1,?,?,?,?
174,'2021/03/11 15:16:14:586',7,-0.011099,0.01636,-0.010071,-0.012843,-0.0118,-0.250497,0.013279,-0.042873,2.699681,1,?,?,?,?
175,'2021/03/11 15:16:14:619',7,-0.000231,0.0044,-0.004586,-0.006497,0.001468,-0.150128,0.013342,-0.042694,2.692125,1,?,?,?,?
176,'2021/03/11 15:16:14:654',7,-0.011429,0.002617,-0.006082,-0.008191,0.020319,-0.242217,0.013527,-0.042298,2.685795,1,?,?,?,?
177,'2021/03/11 15:16:14:691',7,0.005019,-0.004815,-0.011656,0.005457,0.008518,0.00182,0.013359,-0.042099,2.679857,1,?,?,?,?
178,'2021/03/11 15:16:14:738',7,0.000164,-0.004854,-0.008886,0.004574,0.002826,0.006736,0.013274,-0.042295,2.680007,1,?,?,?,?
179,'2021/03/11 15:16:23:337',8,0.005959,0.001146,-0.010039,0.001266,-0.003991,0.001169,-0.012908,-0.058334,-1.042639,0,?,?,?,?
180,'2021/03/11 15:16:23:371',8,-0.001722,0.000025,-0.006304,-0.003282,-0.020227,0.032322,-0.01296,-0.058634,-1.042073,0,?,?,?,?
181,'2021/03/11 15:16:23:405',8,0.013326,-0.017431,-0.007729,0.009993,-0.009577,0.281563,-0.013205,-0.058944,-1.032923,0,?,?,?,?
182,'2021/03/11 15:16:23:445',8,-0.020055,0.021423,-0.011685,0.002318,0.002567,0.041649,-0.013306,-0.059255,-1.02846,0,?,?,?,?
183,'2021/03/11 15:16:23:481',8,0.002376,0.0008,-0.009637,0.003147,-0.013798,0.104045,-0.012979,-0.057955,-1.027158,0,?,?,?,?
184,'2021/03/11 15:16:23:518',8,-0.020252,-0.000078,-0.00602,0.002585,-0.009045,0.131785,-0.013048,-0.058461,-1.019225,0,?,?,?,?
185,'2021/03/11 15:16:23:550',8,0.017518,-0.003296,-0.010962,0.008833,0.000371,0.153399,-0.013352,-0.059138,-1.014233,0,?,?,?,?
186,'2021/03/11 15:16:23:585',8,-0.031219,0.008172,-0.007105,0.002879,0.001475,0.047823,-0.013038,-0.0577,-1.010106,0,?,?,?,?
187,'2021/03/11 15:16:23:620',8,0.02126,-0.005723,-0.007264,0.004541,-0.003974,0.095888,-0.013276,-0.058286,-1.00646,0,?,?,?,?
188,'2021/03/11 15:16:23:655',8,-0.006523,0.001432,-0.006835,0.003017,0.001526,0.060685,-0.013369,-0.058503,-1.004564,0,?,?,?,?
189,'2021/03/11 15:16:23:692',8,0.003976,-0.006208,-0.007498,0.000942,-0.022696,0.071625,-0.01338,-0.058351,-0.999441,0,?,?,?,?
190,'2021/03/11 15:16:23:726',8,-0.009111,0.003405,-0.007203,0.004646,-0.000748,0.059261,-0.013472,-0.058769,-0.996473,0,?,?,?,?
191,'2021/03/11 15:16:23:766',8,-0.021556,0.008357,-0.006592,0.007103,-0.007165,0.170931,-0.013235,-0.058026,-0.994519,0,?,?,?,?
192,'2021/03/11 15:16:23:798',8,-0.024834,0.007713,-0.008002,0.004017,-0.007937,0.089505,-0.013405,-0.05861,-0.988676,0,?,?,?,?
193,'2021/03/11 15:16:23:838',8,0.01457,-0.001868,-0.008275,0.00805,-0.01078,0.089044,-0.013572,-0.059318,-0.986299,0,?,?,?,?
194,'2021/03/11 15:16:23:871',8,-0.02426,-0.003472,-0.011145,0.005657,-0.017839,0.153052,-0.013437,-0.058343,-0.979982,0,?,?,?,?
195,'2021/03/11 15:16:23:906',8,0.002474,-0.015442,-0.007586,0.009457,-0.001367,0.173742,-0.013794,-0.059231,-0.972806,0,?,?,?,?
196,'2021/03/11 15:16:23:947',8,-0.024342,0.016043,-0.00688,-0.000564,-0.008558,0.027299,-0.013376,-0.058475,-0.969256,0,?,?,?,?
197,'2021/03/11 15:16:23:977',8,-0.004454,-0.009736,-0.007268,0.007519,-0.006185,0.196889,-0.013398,-0.058588,-0.961918,0,?,?,?,?
198,'2021/03/11 15:16:24:016',8,-0.017196,0.014303,-0.006591,0.0057,-0.005917,0.063494,-0.01385,-0.059429,-0.958026,0,?,?,?,?
199,'2021/03/11 15:16:24:052',8,0.016654,-0.004175,-0.008351,0.010057,-0.000665,0.129437,-0.01356,-0.058287,-0.955302,0,?,?,?,?
200,'2021/03/11 15:16:24:085',8,-0.02568,0.016473,-0.006416,0.001298,-0.001939,0.036377,-0.013847,-0.059306,-0.950748,0,?,?,?,?
201,'2021/03/11 15:16:24:120',8,0.00051,-0.002486,-0.006113,0.00233,-0.00042,0.000757,-0.013915,-0.059587,-0.950186,0,?,?,?,?
202,'2021/03/11 15:16:24:156',8,-0.001957,0.00064,-0.004822,-0.000566,-0.003852,-0.00061,-0.013688,-0.058965,-0.94922,0,?,?,?,?
