@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
37,'2021/03/11 15:15:04:869',3,0.001741,-0.002354,-0.005155,0.001896,0.008063,-0.000738,-0.00568,-0.016345,0.825852,?,?,?,?,?
38,'2021/03/11 15:15:04:905',3,-0.001178,-0.000303,-0.005545,0.001544,0.007217,0.000361,-0.005582,-0.015974,0.825866,?,?,?,?,?
39,'2021/03/11 15:15:04:943',3,0.00246,-0.00407,-0.011482,-0.001578,-0.009156,-0.000346,-0.005581,-0.016056,0.825867,?,?,?,?,?
40,'2021/03/11 15:15:35:262',4,-0.002846,0.000869,-0.005557,-0.002109,-0.002854,0.001804,0.016006,-0.045836,3.051867,?,?,?,?,?
41,'2021/03/11 15:15:35:298',4,-0.001521,0.00008,-0.006539,-0.000909,-0.007168,-0.003601,0.015995,-0.045941,3.051798,?,?,?,?,?
42,'2021/03/11 15:15:35:333',4,-0.009709,0.008562,-0.006737,-0.004782,-0.027551,0.001242,0.015917,-0.046298,3.051631,?,?,?,?,?
43,'2021/03/11 15:15:35:370',4,0.006473,-0.003613,-0.006107,-0.012867,-0.036181,-0.184217,0.015781,-0.046902,3.05055,?,?,?,?,?
44,'2021/03/11 15:15:35:408',4,-0.015264,0.007178,-0.005648,-0.025527,-0.01441,-0.484789,0.015693,-0.047229,3.03738,?,?,?,?,?
45,'2021/03/11 15:15:35:444',4,0.006152,0.006132,-0.007486,-0.025094,-0.012188,-0.49682,0.015517,-0.047436,3.019066,?,?,?,?,?
46,'2021/03/11 15:15:35:475',4,0.021475,-0.004723,-0.005859,-0.021576,-0.005651,-0.389805,0.015282,-0.048279,3.00338,?,?,?,?,?
47,'2021/03/11 15:15:35:512',4,0.033912,-0.027209,-0.009734,-0.007552,-0.001223,-0.156839,0.015257,-0.048264,2.993767,?,?,?,?,?
48,'2021/03/11 15:15:35:548',4,-0.014955,0.011002,-0.004973,-0.0105,-0.007604,-0.240281,0.015229,-0.048271,2.987236,?,?,?,?,?
49,'2021/03/11 15:15:35:587',4,-0.008936,0.010943,-0.004911,-0.016773,-0.002491,-0.319735,0.015185,-0.048263,2.976253,?,?,?,?,?
50,'2021/03/11 15:15:35:621',4,0.039871,-0.035894,-0.007451,-0.000088,0.008399,-0.004767,0.015208,-0.048089,2.969514,?,?,?,?,?
51,'2021/03/11 15:15:35:659',4,0.004447,-0.001434,-0.005807,0.00746,0.026565,0.00825,0.014985,-0.047913,2.969619,?,?,?,?,?
52,'2021/03/11 15:15:35:691',4,-0.000988,0.001751,-0.006467,-0.000264,0.013857,0.021273,0.015454,-0.046872,2.970325,?,?,?,?,?
53,'2021/03/11 15:15:35:726',4,-0.001678,-0.000879,-0.005898,0.003867,0.007391,0.034419,0.016059,-0.045921,2.970842,?,?,?,?,?
54,'2021/03/11 15:15:35:765',4,0.084098,-0.045383,-0.009574,0.032798,0.007013,0.636607,0.016156,-0.045867,2.984073,?,?,?,?,?
55,'2021/03/11 15:15:35:798',4,0.011137,-0.016633,-0.007936,0.041108,-0.006369,0.885318,0.016098,-0.046423,3.010671,?,?,?,?,?
56,'2021/03/11 15:15:35:833',4,0.004192,-0.008958,-0.00706,0.04238,-0.012757,0.935029,0.016037,-0.047291,3.044394,?,?,?,?,?
