@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
248,'2021/03/11 21:57:38:468',13,0.012981,0.001598,0.002675,-0.009847,1.562803,0.014906,-0.010609,-1.485263,0.039753,?,?
249,'2021/03/11 21:57:38:501',13,0.016801,0.00063,0.005418,-0.0118,1.565454,0.010897,-0.010891,-1.438105,0.039441,?,?
250,'2021/03/11 21:57:38:530',13,0.009952,0.007903,-0.005572,-0.006435,1.48401,0.012055,-0.011415,-1.383708,0.039197,?,?
251,'2021/03/11 21:57:38:568',13,0.002719,0.009813,-0.045376,-0.008065,1.286133,-0.006428,-0.011611,-1.342089,0.039089,?,?
252,'2021/03/11 21:57:38:593',13,0.006979,-0.00364,0.022822,-0.020353,1.349836,0.012702,-0.011682,-1.30269,0.038734,?,?
253,'2021/03/11 21:57:38:624',13,0.007636,-0.011468,0.043276,-0.012704,1.50351,0.033584,-0.012598,-1.259411,0.038453,?,?
254,'2021/03/11 21:57:38:659',13,0.005013,0.004647,-0.005488,-0.010113,1.439506,0.015056,-0.013435,-1.213978,0.038359,?,?
255,'2021/03/11 21:57:38:687',13,0.00589,0.001261,0.001414,-0.017273,1.291368,0.011591,-0.013968,-1.167293,0.038179,?,?
256,'2021/03/11 21:57:38:719',13,0.011429,-0.011017,0.047071,-0.011696,1.454769,0.042952,-0.014939,-1.126262,0.038129,?,?
257,'2021/03/11 21:57:38:749',13,0.005386,0.006794,-0.02109,-0.006568,1.434065,0.006944,-0.015744,-1.081562,0.038336,?,?
258,'2021/03/11 21:57:38:780',13,0.004327,0.007137,-0.022022,-0.009894,1.299835,-0.003323,-0.015966,-1.040702,0.03805,?,?
259,'2021/03/11 21:57:38:812',13,0.000691,0.005788,0.021178,-0.009529,1.374159,-0.010442,-0.015957,-1.000668,0.037627,?,?
260,'2021/03/11 21:57:38:843',13,0.006455,0.001079,0.123053,-0.041603,1.840711,0.008834,-0.01621,-0.94605,0.036836,?,?
261,'2021/03/11 21:57:38:874',13,-0.014708,-0.009432,0.051649,-0.059803,2.082507,0.018297,-0.017505,-0.884942,0.036247,?,?
262,'2021/03/11 21:57:38:904',13,0.007838,0.014471,0.004346,-0.006552,1.90019,0.026366,-0.018718,-0.823467,0.035162,?,?
263,'2021/03/11 21:57:38:936',13,0.019065,0.005279,-0.214504,-0.012764,1.031827,-0.002258,-0.019243,-0.778774,0.035332,?,?
264,'2021/03/11 21:57:38:968',13,0.002595,-0.003843,-0.027798,0.001112,0.87745,-0.005871,-0.019133,-0.752325,0.035084,?,?
265,'2021/03/11 21:57:38:998',13,-0.004304,-0.002781,0.118365,0.019336,1.448726,0.013102,-0.018972,-0.712499,0.035364,?,?
266,'2021/03/11 21:57:39:033',13,-0.001856,0.008367,0.059881,0.029691,1.814119,0.013372,-0.018444,-0.662108,0.036469,?,?
267,'2021/03/11 21:57:39:066',13,0.007743,0.003731,0.003307,0.031755,1.813588,0.015893,-0.018059,-0.607008,0.037364,?,?
268,'2021/03/11 21:57:39:093',13,0.001284,0.001699,-0.022408,0.007951,1.716842,0.003991,-0.017696,-0.553256,0.038105,?,?
269,'2021/03/11 21:57:39:124',13,0.005698,-0.004102,0.013802,0.007979,1.725413,0.0129,-0.01779,-0.501927,0.038433,?,?
270,'2021/03/11 21:57:39:154',13,-0.008754,0.001164,0.019737,0.010843,1.845409,0.005711,-0.017635,-0.438892,0.038986,?,?
271,'2021/03/11 21:57:39:186',13,0.001489,-0.009824,0.004611,0.011723,1.915267,0.045834,-0.017622,-0.381985,0.03981,?,?
272,'2021/03/11 21:57:39:218',13,-0.003188,-0.029492,0.026013,0.052307,2.081886,0.162515,-0.017759,-0.32196,0.043159,?,?
273,'2021/03/11 21:57:39:249',13,0.007454,0.001012,0.028482,0.046291,2.238424,0.164593,-0.017696,-0.25574,0.048502,?,?
274,'2021/03/11 21:57:39:283',13,-0.015923,0.00382,-0.016792,0.026493,2.126172,0.113809,-0.017634,-0.188794,0.053175,?,?
275,'2021/03/11 21:58:36:353',14,0.003743,0.00342,-0.002005,0.002048,-0.00602,-0.002809,0.003923,1.389186,-2.763438,?,?
276,'2021/03/11 21:58:36:376',14,0.001008,0.003621,0.000717,-0.006093,0.002547,0.000205,0.003819,1.389118,-2.763496,?,?
277,'2021/03/11 21:58:36:411',14,-0.010056,-0.011012,0.001876,0.012614,-0.055929,-0.035741,0.003102,1.388437,-2.763817,?,?
278,'2021/03/11 21:58:36:437',14,0.006983,0.003663,0.003685,0.008992,-0.058417,-0.037123,0.001694,1.386271,-2.764657,?,?
279,'2021/03/11 21:58:36:469',14,0.000026,0.002487,-0.000376,0.003371,-0.056958,-0.028294,0.000855,1.38469,-2.765047,?,?
280,'2021/03/11 21:58:36:500',14,0.011057,-0.002319,-0.001245,-0.017796,-0.023365,0.005512,0.00084,1.383462,-2.764876,?,?
281,'2021/03/11 21:58:36:531',14,0.003005,0.003491,-0.002983,-0.020405,-0.003954,0.024552,0.001217,1.383275,-2.76443,?,?
282,'2021/03/11 21:58:36:563',14,0.02137,0.001063,0.005964,-0.039712,0.023471,0.055542,0.001948,1.383564,-2.763631,?,?
283,'2021/03/11 21:58:36:593',14,0.004661,-0.005838,0.006842,-0.057123,-0.02321,0.025727,0.002997,1.38399,-2.761834,?,?
284,'2021/03/11 21:58:36:632',14,-0.002588,-0.005741,0.011888,-0.017377,-0.078667,-0.017647,0.002361,1.382023,-2.761266,?,?
285,'2021/03/11 21:58:36:655',14,-0.012442,-0.002098,-0.008256,-0.015869,-0.042001,-0.021853,0.000939,1.380456,-2.760782,?,?
286,'2021/03/11 21:58:36:686',14,-0.058445,-0.008237,-0.018071,0.071244,-0.163452,-0.219776,-0.002119,1.378051,-2.762143,?,?
287,'2021/03/11 21:58:36:721',14,0.022254,0.002793,-0.000425,0.133638,-0.145197,-0.493573,-0.011825,1.37229,-2.767799,?,?
288,'2021/03/11 21:58:36:749',14,0.053313,0.016277,0.026134,0.170208,-0.177885,-0.481395,-0.026787,1.365975,-2.777722,?,?
289,'2021/03/11 21:58:36:781',14,0.01899,0.004592,0.001577,0.118306,-0.165289,-0.380095,-0.038844,1.360109,-2.785435,?,?
290,'2021/03/11 21:58:36:811',14,-0.027032,0.044078,-0.0151,-0.005262,-0.004214,0.067213,-0.043735,1.357425,-2.788868,?,?
291,'2021/03/11 21:58:36:843',14,0.02335,0.018041,0.003414,-0.049161,0.082525,0.238187,-0.038945,1.358837,-2.787174,?,?
292,'2021/03/11 21:58:36:876',14,0.021249,0.001947,-0.004987,-0.129296,0.152594,0.312964,-0.03062,1.362655,-2.783095,?,?
293,'2021/03/11 21:58:36:906',14,0.000343,-0.008099,0.002713,-0.051423,0.065185,0.137503,-0.022963,1.367506,-2.777407,?,?
294,'2021/03/11 21:58:36:936',14,-0.015287,-0.01094,0.003759,0.026593,-0.029549,-0.0033,-0.021989,1.367501,-2.777559,?,?
295,'2021/03/11 21:58:36:970',14,0.013034,0.001433,-0.006283,0.001797,0.019325,-0.00696,-0.02225,1.367222,-2.778026,?,?
296,'2021/03/11 21:58:37:000',14,-0.004659,0.006992,-0.002519,0.01085,0.005144,0.00237,-0.021864,1.367524,-2.778784,?,?
297,'2021/03/11 21:58:37:034',14,0.000702,0.002443,-0.000987,0.007673,-0.017437,-0.014681,-0.021789,1.367487,-2.779128,?,?
298,'2021/03/11 21:58:37:062',14,0.000563,0.007428,-0.000142,0.008745,-0.041312,0.001601,-0.022085,1.366249,-2.779387,?,?
299,'2021/03/11 21:58:50:875',15,0.008941,-0.003985,-0.016672,0.176261,-0.184824,-0.406265,1.367911,0.33008,-1.95708,?,?
300,'2021/03/11 21:58:50:906',15,0.01005,-0.002938,-0.001763,0.187784,-0.151278,-0.388051,1.368873,0.389207,-2.022755,?,?
301,'2021/03/11 21:58:50:937',15,0.017226,0.006415,-0.004716,0.207052,-0.053729,-0.343094,1.370011,0.458249,-2.097548,?,?
302,'2021/03/11 21:58:50:969',15,0.058095,0.006351,0.003762,0.201678,0.123833,-0.19322,1.371611,0.509661,-2.148948,?,?
303,'2021/03/11 21:58:51:002',15,0.057817,0.008718,-0.026402,0.248063,0.166171,-0.061495,1.375515,0.546775,-2.181455,?,?
304,'2021/03/11 21:58:51:032',15,0.041695,0.006616,-0.037747,0.336636,0.066192,0.022756,1.382663,0.577505,-2.209327,?,?
305,'2021/03/11 21:58:51:064',15,0.082458,0.013545,-0.018071,0.372698,0.080122,0.20957,1.393676,0.597171,-2.227869,?,?
306,'2021/03/11 21:58:51:093',15,0.051151,0.018403,0.00084,0.341278,0.207818,0.383033,1.410329,0.590684,-2.215153,?,?
307,'2021/03/11 21:58:51:125',15,-0.014674,-0.003391,0.019513,0.30258,0.144078,0.342231,1.424904,0.570053,-2.188971,?,?
308,'2021/03/11 21:58:51:157',15,-0.047637,-0.003116,0.041258,0.204655,0.11871,0.203221,1.436032,0.553001,-2.167795,?,?
309,'2021/03/11 21:58:51:188',15,-0.082848,-0.013109,0.037915,0.12769,-0.065077,-0.016021,1.441611,0.555377,-2.169029,?,?
310,'2021/03/11 21:58:51:219',15,-0.050327,0.011621,0.02395,0.073885,-0.10046,-0.166783,1.442645,0.582887,-2.199362,?,?
311,'2021/03/11 21:58:51:249',15,-0.11529,-0.006829,0.015964,0.030362,-0.279424,-0.508839,1.437596,0.655976,-2.279816,?,?
312,'2021/03/11 21:58:51:281',15,-0.097156,0.003739,-0.008147,0.038511,-0.435614,-0.754079,1.425667,0.754442,-2.390453,?,?
313,'2021/03/11 21:58:51:312',15,-0.060743,0.003024,-0.004302,0.042704,-0.497283,-0.899437,1.408444,0.858675,-2.510276,?,?
314,'2021/03/11 21:58:51:343',15,-0.032387,0.002492,-0.01223,0.048532,-0.533217,-0.949509,1.387093,0.94981,-2.618937,?,?
315,'2021/03/11 21:58:51:375',15,0.03905,0.024734,0.006502,0.003915,-0.433957,-0.784259,1.365215,1.014608,-2.700177,?,?
316,'2021/03/11 21:58:51:407',15,0.163612,0.06025,0.000499,-0.160727,-0.054862,-0.189177,1.348577,1.037833,-2.733211,?,?
317,'2021/03/11 21:58:51:439',15,0.130532,0.038367,-0.006473,-0.276831,0.094308,0.257586,1.346296,1.010715,-2.70445,?,?
318,'2021/03/11 21:58:51:469',15,0.162637,0.004835,0.039696,-0.36364,0.269202,0.658856,1.352371,0.945408,-2.632358,?,?
319,'2021/03/11 21:58:51:500',15,0.162219,-0.047076,0.054531,-0.328949,0.496803,0.851691,1.363864,0.846723,-2.519634,?,?
320,'2021/03/11 21:58:51:531',15,0.069894,0.033908,0.002923,-0.313487,0.612104,1.007438,1.377556,0.737222,-2.39138,?,?
321,'2021/03/11 21:58:51:567',15,0.073581,-0.002789,0.034926,-0.377789,0.69412,1.162564,1.391823,0.558346,-2.185644,?,?
322,'2021/03/11 21:58:51:593',15,0.047007,0.004146,0.049594,-0.470747,0.700649,1.207339,1.396384,0.366977,-1.969161,?,?
323,'2021/03/11 21:58:51:625',15,-0.054116,-0.037936,0.029037,-0.387527,0.385246,0.903298,1.392823,0.18275,-1.765393,?,?
324,'2021/03/11 21:58:51:656',15,-0.028101,0.004759,-0.007185,-0.379358,0.262564,0.753341,1.384655,0.053833,-1.625967,?,?
325,'2021/03/11 21:58:51:687',15,0.076557,-0.023245,0.063856,-0.481087,0.455605,0.863501,1.372722,-0.058984,-1.50014,?,?
326,'2021/03/11 21:58:51:720',15,-0.065761,0.053398,-0.112234,-0.425577,0.130171,0.721593,1.353121,-0.17594,-1.368489,?,?
327,'2021/03/11 21:58:51:750',15,-0.046352,0.020065,-0.118441,-0.229419,-0.126899,0.526034,1.339712,-0.245242,-1.297981,?,?
328,'2021/03/11 21:58:51:790',15,0.015144,0.005916,-0.035378,-0.000454,0.091869,0.504754,1.33222,-0.305046,-1.237753,?,?
329,'2021/03/11 21:58:51:812',15,-0.0365,0.007971,0.020202,-0.004915,0.163268,0.407308,1.328291,-0.355594,-1.181095,?,?
330,'2021/03/11 21:58:51:843',15,-0.021954,0.025426,0.106969,-0.165491,0.32476,0.300301,1.32226,-0.384254,-1.144372,?,?
331,'2021/03/11 21:58:51:876',15,-0.044053,0.020648,0.162111,-0.532759,0.540217,0.151402,1.308424,-0.380568,-1.132176,?,?
332,'2021/03/11 21:58:51:906',15,-0.024174,0.021926,0.196959,-0.930782,0.669503,0.078229,1.286588,-0.34442,-1.150483,?,?
333,'2021/03/11 21:58:51:937',15,0.062956,-0.001494,0.175304,-1.120798,1.127404,0.171766,1.255141,-0.297251,-1.172662,?,?
334,'2021/03/11 21:58:51:968',15,0.055437,0.021882,0.092599,-1.108508,1.73456,0.188103,1.221255,-0.244275,-1.182046,?,?
335,'2021/03/11 21:58:52:000',15,-0.034116,0.048064,-0.028895,-1.130309,1.50638,-0.013764,1.187314,-0.182252,-1.193489,?,?
336,'2021/03/11 21:58:52:032',15,-0.033057,0.042057,-0.079283,-0.989181,1.06579,-0.230943,1.150986,-0.113061,-1.221007,?,?
337,'2021/03/11 21:58:52:062',15,0.0437,0.013309,-0.027534,-0.803471,1.132359,-0.174074,1.124477,-0.061794,-1.241708,?,?
338,'2021/03/11 21:58:52:093',15,0.008936,-0.05923,-0.089959,-1.068058,0.879699,-0.161514,1.095684,-0.020337,-1.254175,?,?
339,'2021/03/11 21:58:52:131',15,0.095705,-0.066081,-0.007721,-1.079701,0.909335,0.047344,1.063243,0.008378,-1.24931,?,?
340,'2021/03/11 21:58:52:156',15,0.041604,0.000084,-0.008014,-1.037023,0.670669,0.114186,1.030936,0.027535,-1.237684,?,?
341,'2021/03/11 21:58:52:191',15,0.053144,0.001214,0.000228,-0.965771,0.456207,0.23883,0.995496,0.035405,-1.212307,?,?
342,'2021/03/11 21:58:52:218',15,0.032856,0.006895,-0.025571,-0.83471,0.151902,0.285178,0.968494,0.031726,-1.18594,?,?
343,'2021/03/11 21:58:52:249',15,-0.005001,0.004126,-0.047454,-0.691505,-0.107405,0.280259,0.945747,0.019787,-1.166483,?,?
344,'2021/03/11 21:58:52:284',15,0.052773,0.00066,-0.045794,-0.576654,-0.0055,0.389408,0.926544,0.002578,-1.14066,?,?
345,'2021/03/11 21:58:52:310',15,-0.075423,-0.043124,-0.046844,-0.358971,0.067532,0.231972,0.912239,-0.008554,-1.121683,?,?
346,'2021/03/11 21:58:52:343',15,-0.026289,-0.000038,-0.061301,-0.183957,0.020528,0.138316,0.903624,-0.014194,-1.106891,?,?
347,'2021/03/11 21:58:52:375',15,-0.022695,0.010121,-0.018565,-0.146649,-0.015891,0.070504,0.897724,-0.018791,-1.09513,?,?
348,'2021/03/11 21:58:52:406',15,-0.012316,0.006247,0.004331,-0.151506,-0.054983,0.015308,0.893333,-0.021298,-1.090872,?,?
349,'2021/03/11 21:58:52:437',15,-0.01773,0.000042,0.005946,-0.196354,-0.07252,-0.033942,0.887908,-0.02295,-1.086643,?,?
350,'2021/03/11 21:58:52:469',15,-0.00516,-0.016352,-0.001168,-0.224989,-0.146778,-0.042671,0.881564,-0.024808,-1.085968,?,?
351,'2021/03/11 21:58:52:500',15,0.004344,0.010232,-0.018573,-0.169881,-0.236291,-0.061335,0.87452,-0.029831,-1.084702,?,?
352,'2021/03/11 21:58:52:533',15,0.011356,-0.003281,-0.081735,0.032051,-0.317217,-0.052457,0.872558,-0.036258,-1.083715,?,?
353,'2021/03/11 21:58:52:562',15,-0.000389,0.020538,-0.16595,0.429441,-0.330542,-0.085315,0.879733,-0.044053,-1.084205,?,?
354,'2021/03/11 21:58:52:594',15,-0.0583,0.037149,-0.159448,0.699352,-0.56791,-0.267696,0.897511,-0.051906,-1.087548,?,?
355,'2021/03/11 21:58:52:626',15,-0.034032,0.041708,-0.104693,0.877739,-0.729784,-0.384265,0.922064,-0.060086,-1.100104,?,?
356,'2021/03/11 21:58:52:656',15,0.021962,0.021152,-0.074161,1.083818,-0.702408,-0.393819,0.957575,-0.069689,-1.114409,?,?
357,'2021/03/11 21:58:52:687',15,0.011049,0.019976,-0.068045,1.212293,-0.710409,-0.405497,0.993187,-0.076817,-1.125158,?,?
358,'2021/03/11 21:58:52:718',15,0.00335,0.040062,-0.009036,1.25314,-0.684718,-0.439129,1.03162,-0.082819,-1.139968,?,?
359,'2021/03/11 21:58:52:749',15,0.023873,0.02025,0.064538,1.116552,-0.644102,-0.429262,1.068728,-0.085414,-1.154846,?,?
360,'2021/03/11 21:58:52:781',15,0.033276,0.011403,0.085155,0.95785,-0.499723,-0.386036,1.10115,-0.083772,-1.17548,?,?
361,'2021/03/11 21:58:52:815',15,0.018335,0.020553,0.04197,0.845857,-0.418403,-0.363541,1.129015,-0.079906,-1.195966,?,?
362,'2021/03/11 21:58:52:848',15,0.013419,0.00415,0.065236,0.66748,-0.275394,-0.346388,1.156893,-0.068818,-1.221086,?,?
363,'2021/03/11 21:58:52:876',15,0.01864,-0.004769,0.083737,0.496571,-0.056748,-0.238877,1.17516,-0.054489,-1.242912,?,?
364,'2021/03/11 21:58:52:910',15,0.099767,-0.022652,0.130509,0.261805,0.150459,-0.010948,1.186154,-0.046755,-1.249471,?,?
365,'2021/03/11 21:58:52:936',15,-0.024137,0.008613,-0.012012,0.217595,-0.00907,-0.051343,1.193251,-0.044021,-1.249909,?,?
366,'2021/03/11 21:58:52:968',15,0.051612,-0.008953,0.026342,0.160548,0.012237,0.019551,1.199879,-0.042548,-1.252122,?,?
367,'2021/03/11 21:58:53:003',15,0.007217,-0.00096,0.001215,0.133509,-0.007343,0.038736,1.204275,-0.045659,-1.248308,?,?
368,'2021/03/11 21:58:57:846',16,-0.014681,0.009001,-0.017578,-0.002251,0.134142,-0.293827,-1.413516,0.32977,2.152689,?,?
369,'2021/03/11 21:58:57:875',16,-0.048365,0.027728,-0.038647,-0.222393,0.096176,-0.045386,-1.417936,0.314579,2.134041,?,?
370,'2021/03/11 21:58:57:919',16,-0.054892,0.004834,-0.030764,-0.37104,0.168996,0.222877,-1.425897,0.35773,2.174635,?,?
371,'2021/03/11 21:58:57:937',16,-0.05457,0.017043,-0.015234,-0.447489,0.254656,0.445597,-1.433032,0.46345,2.274285,?,?
372,'2021/03/11 21:58:57:969',16,-0.012372,-0.001832,-0.052943,-0.790779,0.073887,0.510372,-1.441042,0.669096,2.476121,?,?
373,'2021/03/11 21:58:58:000',16,-0.029818,-0.00448,0.032197,-0.948308,0.024102,0.069469,-1.453232,0.879278,2.686737,?,?
374,'2021/03/11 21:58:58:031',16,0.051331,-0.017737,0.023576,-0.908012,0.016528,-0.193415,-1.471381,1.08204,2.8905,?,?
375,'2021/03/11 21:58:58:068',16,0.051441,0.030733,0.007822,-0.756098,-0.064767,-0.367738,-1.488817,1.300561,3.112375,?,?
376,'2021/03/11 21:58:58:093',16,0.036895,0.023106,0.021916,-0.549137,-0.010913,-0.101089,-1.49955,1.547581,-2.921694,?,?
377,'2021/03/11 21:58:58:130',16,-0.109456,0.017063,0.048051,-0.266173,-0.151092,0.451484,-1.493192,1.732679,-2.733996,?,?
378,'2021/03/11 21:58:58:156',16,-0.11293,0.025836,0.071466,0.119163,-0.249871,0.915708,-1.471756,1.715967,-2.743405,?,?
379,'2021/03/11 21:58:58:187',16,-0.054645,0.004699,0.067849,0.421772,-0.198532,1.129882,-1.441393,1.610587,-2.842216,?,?
380,'2021/03/11 21:58:58:222',16,0.036033,-0.003831,0.034919,0.356518,0.013497,1.54561,-1.401773,1.520573,-2.928727,?,?
381,'2021/03/11 21:58:58:250',16,-0.010833,-0.004536,-0.046714,0.087712,-0.098931,1.262778,-1.356163,1.499412,-2.94855,?,?
382,'2021/03/11 21:58:58:281',16,0.068294,-0.025492,-0.012427,-0.052954,-0.043708,0.491887,-1.325403,1.507467,-2.935479,?,?
383,'2021/03/11 21:58:58:312',16,0.062534,-0.011178,0.012116,0.065933,-0.00214,-0.395625,-1.323957,1.506303,-2.933908,?,?
384,'2021/03/11 21:58:58:343',16,0.120598,-0.027827,0.035345,0.39014,0.139056,-0.814029,-1.342846,1.475353,-2.967053,?,?
385,'2021/03/11 21:58:58:375',16,0.046086,-0.021351,0.032354,0.566189,0.150179,-1.098738,-1.369616,1.392287,-3.056259,?,?
386,'2021/03/11 21:58:58:406',16,0.003752,0.020681,-0.002396,0.562633,0.025394,-1.350536,-1.40128,1.258977,3.088218,?,?
387,'2021/03/11 21:58:58:437',16,-0.023909,-0.00083,0.01894,0.60413,0.098039,-1.334191,-1.437472,1.003901,2.829622,?,?
388,'2021/03/11 21:58:58:469',16,-0.016376,0.002124,0.050315,0.860162,0.259271,-0.900775,-1.449032,0.705611,2.522903,?,?
389,'2021/03/11 21:58:58:500',16,-0.07574,0.022482,0.003628,0.995918,0.216077,-0.586384,-1.436357,0.444432,2.252844,?,?
390,'2021/03/11 21:58:58:532',16,0.002305,0.015618,0.067079,0.810995,0.487602,-0.504063,-1.416402,0.290111,2.086548,?,?
391,'2021/03/11 21:58:58:562',16,-0.08944,0.183935,-0.039273,0.970432,0.173575,-1.052871,-1.394538,0.12481,1.90995,?,?
392,'2021/03/11 21:58:58:593',16,0.064185,-0.027644,0.068632,0.687076,0.753345,-0.855071,-1.366845,-0.040425,1.723629,?,?
393,'2021/03/11 21:58:58:624',16,-0.063833,0.11211,-0.034251,0.916555,0.549086,-1.062358,-1.3395,-0.146135,1.596668,?,?
394,'2021/03/11 21:58:58:656',16,0.122676,-0.025947,0.147125,0.707926,1.332381,-0.790388,-1.309916,-0.210117,1.501866,?,?
395,'2021/03/11 21:58:58:688',16,-0.182253,0.173205,-0.167943,1.310645,0.673684,-1.020025,-1.277315,-0.237684,1.435343,?,?
396,'2021/03/11 21:58:58:718',16,0.023174,0.056337,-0.0013,1.113047,0.413856,-0.759535,-1.229723,-0.281355,1.376439,?,?
397,'2021/03/11 21:58:58:765',16,-0.036208,-0.103638,0.012842,0.333567,1.014559,-0.079966,-1.201896,-0.284818,1.348216,?,?
398,'2021/03/11 21:58:58:782',16,0.101188,-0.116225,0.155343,0.702966,1.582552,1.02116,-1.193683,-0.194549,1.396518,?,?
399,'2021/03/11 21:58:58:811',16,-0.088306,-0.03137,-0.012701,1.466578,1.20195,1.591119,-1.163809,-0.045185,1.513614,?,?
400,'2021/03/11 21:58:58:846',16,-0.053256,-0.002397,-0.049288,1.203001,1.15529,1.391677,-1.120775,0.086794,1.622401,?,?
401,'2021/03/11 21:58:58:874',16,0.078249,-0.092115,0.067537,0.953833,1.433464,1.312118,-1.085625,0.197359,1.701848,?,?
402,'2021/03/11 21:58:58:910',16,0.018939,0.00816,-0.015206,1.4468,1.40509,1.054562,-1.032921,0.306077,1.767867,?,?
403,'2021/03/11 21:58:58:940',16,-0.080159,0.00699,-0.106143,1.769918,0.648823,0.308195,-0.979492,0.346311,1.778472,?,?
404,'2021/03/11 21:58:58:970',16,0.003517,0.084494,-0.026954,1.419526,0.163523,-0.476333,-0.93283,0.328831,1.744084,?,?
405,'2021/03/11 21:58:58:999',16,-0.016251,-0.063754,-0.027004,1.177437,-0.068178,-0.923393,-0.903989,0.287314,1.690992,?,?
406,'2021/03/11 21:58:59:031',16,0.018922,-0.062185,0.005966,1.697435,-0.208125,-0.93143,-0.870693,0.235614,1.628441,?,?
407,'2021/03/11 21:58:59:063',16,0.031932,0.104982,0.045984,1.120222,-0.274895,-0.443414,-0.82178,0.186408,1.575846,?,?
408,'2021/03/11 21:58:59:094',16,0.042808,0.020891,0.027185,0.055514,-0.004212,-0.276827,-0.807415,0.167604,1.55636,?,?
409,'2021/03/11 21:58:59:124',16,0.054995,-0.003268,0.072952,-0.036959,0.269696,-0.398834,-0.811069,0.162578,1.542956,?,?
410,'2021/03/11 21:58:59:156',16,-0.02779,0.047829,0.051992,0.229339,0.174187,-1.079785,-0.810478,0.148029,1.511723,?,?
411,'2021/03/11 21:58:59:189',16,-0.026389,0.039506,0.010897,-0.101034,-0.154843,-1.641308,-0.812772,0.102419,1.449167,?,?
412,'2021/03/11 21:58:59:218',16,0.049661,0.025134,0.037393,-0.650648,0.12664,-1.5751,-0.830289,0.038106,1.36349,?,?
413,'2021/03/11 21:58:59:250',16,0.073917,-0.054008,-0.026584,-0.927177,0.591722,-1.457784,-0.855812,-0.000611,1.293585,?,?
414,'2021/03/11 21:58:59:280',16,-0.05338,-0.061314,-0.062505,-0.781748,0.440337,-1.016202,-0.882401,-0.028794,1.233832,?,?
415,'2021/03/11 21:58:59:312',16,-0.055423,0.037476,-0.011685,-0.59812,0.289083,-0.612369,-0.901691,-0.049461,1.193943,?,?
416,'2021/03/11 21:58:59:349',16,0.054291,0.040455,0.005607,-0.73041,0.618224,-0.775024,-0.920206,-0.061007,1.160209,?,?
417,'2021/03/11 21:58:59:386',16,-0.066729,-0.054476,-0.09419,-0.626649,0.131092,-1.38274,-0.942254,-0.100338,1.091244,?,?
418,'2021/03/11 21:58:59:406',16,-0.075641,-0.021334,-0.077482,-0.260639,-0.341982,-1.508736,-0.949506,-0.170077,1.009402,?,?
419,'2021/03/11 21:58:59:437',16,-0.059513,-0.00452,-0.018889,-0.097799,-0.903356,-1.178203,-0.945769,-0.244908,0.938472,?,?
420,'2021/03/11 21:58:59:468',16,-0.099126,-0.05415,-0.048163,0.021461,-1.030383,-1.087832,-0.938311,-0.318554,0.882043,?,?
421,'2021/03/11 21:58:59:501',16,0.006937,0.011616,-0.044328,0.538791,-1.206655,-1.855106,-0.915134,-0.403533,0.816408,?,?
422,'2021/03/11 21:58:59:532',16,0.039226,-0.024012,0.052244,0.876027,-1.322511,-1.414833,-0.862968,-0.504261,0.741354,?,?
423,'2021/03/11 21:58:59:566',16,0.005291,-0.03543,0.061068,0.677707,-0.996193,-0.218827,-0.829342,-0.551814,0.7237,?,?
424,'2021/03/11 21:58:59:593',16,0.023159,-0.0566,0.032628,0.398183,-0.514927,0.903896,-0.82197,-0.557186,0.747552,?,?
425,'2021/03/11 21:58:59:624',16,0.012004,-0.021301,0.02644,0.380546,-0.155317,1.937446,-0.834258,-0.518794,0.809312,?,?
426,'2021/03/11 21:58:59:658',16,0.007066,-0.024391,-0.015671,0.217731,-0.384943,2.685925,-0.858376,-0.450536,0.908097,?,?
427,'2021/03/11 21:58:59:687',16,-0.061542,-0.101924,-0.018366,0.208036,0.063105,3.44445,-0.893121,-0.335919,1.068662,?,?
428,'2021/03/11 21:58:59:718',16,0.076803,0.06402,0.026595,-0.214155,0.788977,3.24281,-0.919971,-0.19292,1.231552,?,?
429,'2021/03/11 21:58:59:750',16,-0.030774,-0.000016,-0.047108,-0.460261,0.735739,2.494145,-0.942382,-0.056023,1.372745,?,?
430,'2021/03/11 21:58:59:781',16,-0.020161,0.084353,-0.009166,-0.29226,0.471483,1.741233,-0.95431,0.052259,1.484598,?,?
431,'2021/03/11 21:58:59:812',16,-0.0662,0.034914,-0.04476,-0.113271,0.011888,0.88073,-0.957167,0.116659,1.555003,?,?
432,'2021/03/11 21:58:59:843',16,-0.020375,0.120699,-0.022586,-0.011012,-0.260355,0.153225,-0.956081,0.13394,1.584335,?,?
433,'2021/03/11 21:58:59:874',16,-0.004027,-0.016587,-0.021416,-0.274301,-0.237288,0.580869,-0.958685,0.13979,1.601383,?,?
434,'2021/03/11 21:58:59:909',16,0.018715,-0.015463,-0.014501,-0.602374,-0.162941,1.266563,-0.967351,0.17804,1.655095,?,?
435,'2021/03/11 21:58:59:939',16,-0.010973,-0.027748,-0.002557,-0.736609,-0.092028,1.50389,-0.978879,0.241782,1.739007,?,?
